"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"TCGA-AC-A7VB-01",4.69858503341675,-1.02061712741852,-0.833730936050415,-0.454085290431976,1.432492852211,1.41243326663971,-1.75055432319641,0.171370401978493,-0.572789430618286,0.598146617412567,0.136177361011505,1.34634304046631,0.093829482793808,0.375700175762177,-0.0397617630660534
"TCGA-B6-A0RO-01",1.43689501285553,0.433891773223877,1.03992319107056,-0.841309666633606,-0.351442068815231,-0.594527542591095,0.102612651884556,0.682852029800415,1.44925224781036,2.20291233062744,0.355112820863724,1.00584006309509,0.615227699279785,-1.40739023685455,-0.32519006729126
"TCGA-A7-A13E-01",-0.0768277496099472,-4.57228803634644,-0.153010949492455,0.981347858905792,0.898531794548035,-1.21149790287018,-1.69611084461212,-1.01342988014221,-1.7527688741684,-0.355887025594711,0.636253356933594,-0.681232750415802,-0.615783333778381,0.57921028137207,-1.59781420230865
"TCGA-A7-A0D9-01",1.39150035381317,0.896828174591064,-0.334651678800583,0.327333033084869,1.20025503635406,-0.00101787713356316,-0.645742237567902,0.944119811058044,3.42777514457703,-0.469228148460388,2.68061065673828,-0.845668613910675,0.953382670879364,1.45789933204651,-0.143497750163078
"TCGA-GM-A3XN-01",-0.736678898334503,0.934359788894653,0.322465926408768,0.521288096904755,2.03656315803528,-0.699140608310699,0.658127248287201,0.0847133919596672,-0.336078226566315,-0.683764934539795,0.362600952386856,-0.319146454334259,0.432919412851334,-1.42850267887115,2.27748155593872
"TCGA-E2-A1IK-01",-2.32915496826172,1.65940713882446,0.105466350913048,-1.05760157108307,-1.72518181800842,-0.513199388980865,-0.438419878482819,2.62424063682556,-0.514930427074432,0.991993129253387,-0.777899205684662,2.04842162132263,-0.613150715827942,0.648812234401703,0.984550297260284
"TCGA-E2-A1IU-01",0.167048305273056,1.37351393699646,1.08890640735626,-1.62514102458954,-0.487770438194275,-0.521260738372803,-0.247655227780342,0.913800954818726,-0.684921264648438,0.331567585468292,-0.191806957125664,0.10110928863287,1.59893989562988,0.0141226788982749,-1.51368010044098
"TCGA-BH-A0E2-01",2.30561494827271,-0.0432610288262367,0.764908850193024,1.61966812610626,0.16958312690258,-0.237563416361809,-1.06026589870453,1.28257584571838,1.57256031036377,-0.387315422296524,1.37064182758331,-1.23374974727631,-1.14438986778259,0.479698657989502,0.565749049186707
"TCGA-BH-A0B3-11",-2.90831804275513,1.38844394683838,1.41769182682037,0.834784269332886,0.982069253921509,0.914979636669159,-0.628682434558868,-0.959348499774933,0.336795419454575,0.392708718776703,-0.398048430681229,0.195271551609039,0.377829611301422,1.3133989572525,-0.346111238002777
"TCGA-AR-A2LE-01",0.789832592010498,0.62802255153656,-0.884977042675018,-0.861993730068207,0.20510695874691,-2.07831168174744,0.0756304860115051,0.693156063556671,-2.51876783370972,-0.0849671065807343,-1.21411573886871,-1.10436356067657,-1.30436396598816,-0.254344999790192,-0.427171587944031
"TCGA-E2-A1L7-01",1.74908745288849,-0.380225837230682,0.245135545730591,2.68810677528381,0.789071917533875,-0.0645429939031601,0.437716692686081,0.436937689781189,0.486263185739517,-0.5208860039711,-1.26092433929443,0.00316680851392448,0.321237206459045,1.27348518371582,1.87295246124268
"TCGA-AC-A5EH-01",0.955099701881409,-0.171901881694794,-0.977572798728943,-1.91678845882416,-1.93939077854156,1.28334701061249,1.40462672710419,-0.317304760217667,0.179902449250221,2.23682355880737,1.7352739572525,-0.795681834220886,1.06210875511169,0.105725713074207,0.765899062156677
"TCGA-GM-A2DM-01",-1.64110481739044,2.24050188064575,-1.88811957836151,0.488652855157852,-2.5850830078125,-1.26235294342041,-0.816453874111176,1.20797729492188,0.263692706823349,0.674977242946625,0.73083108663559,1.3983850479126,0.310686200857162,1.87297809123993,0.250549972057343
"TCGA-AC-A3HN-01",-0.783814966678619,1.33735930919647,0.385895401239395,1.01475512981415,1.22374367713928,-0.516467273235321,0.508583188056946,0.508683085441589,-0.547996580600739,0.0448483303189278,-0.198232114315033,-0.364708185195923,1.14346635341644,-1.11263787746429,-0.361865550279617
"TCGA-C8-A1HN-01",2.36098051071167,-0.691086411476135,-1.39647781848907,-1.61034309864044,-0.868534564971924,-0.406858593225479,-0.583941757678986,-0.0638430863618851,2.21526980400085,0.261760622262955,-0.796809136867523,0.733513474464417,-1.06314671039581,0.616443336009979,1.44341790676117
"TCGA-A2-A25C-01",0.0652103126049042,1.18091428279877,-0.480826914310455,-0.0202731508761644,0.576449990272522,-1.41145324707031,0.241605117917061,2.14083242416382,0.146433711051941,0.758921980857849,-0.214866057038307,-1.38509786128998,0.336831539869308,0.129108980298042,-0.253486186265945
"TCGA-E9-A6HE-01",1.47783637046814,0.599958300590515,-0.0608603544533253,0.996272325515747,1.33406436443329,-0.0503657646477222,0.17211452126503,-1.27455139160156,-0.644432008266449,-0.684712052345276,1.64887166023254,0.488191992044449,1.69711208343506,-0.407790511846542,0.960937440395355
"TCGA-EW-A6SB-01",-1.37583410739899,-3.31474494934082,0.223568022251129,0.950202465057373,-1.15874040126801,0.328028351068497,0.306307852268219,1.331582903862,-1.76274788379669,-1.69325590133667,0.479628711938858,1.08774077892303,0.339941531419754,1.09913468360901,-0.983798921108246
"TCGA-E9-A1N4-01",-1.01352393627167,1.58425176143646,-0.866523921489716,-2.1282844543457,-0.808160543441772,-0.459125906229019,0.293487697839737,1.27736151218414,-1.02489328384399,0.383056849241257,-1.0813957452774,-0.0912508741021156,0.847987771034241,0.14055523276329,-1.24740707874298
"TCGA-AO-A0JE-01",1.21328854560852,-0.672831833362579,0.277731716632843,-0.106297820806503,-1.06446778774261,1.43792641162872,2.12925362586975,0.259379744529724,-1.14030396938324,0.923226416110992,1.12088668346405,-0.929080367088318,0.467551708221436,0.991432726383209,-0.024876007810235
"TCGA-E2-A106-01",2.10720920562744,0.9465012550354,0.41645136475563,-0.792243778705597,-0.367421895265579,-0.483437150716782,-1.49869418144226,2.96068406105042,1.42273664474487,1.3865157365799,0.46167328953743,0.298906743526459,0.414272308349609,0.277096271514893,-0.704819977283478
"TCGA-AC-A3TM-01",1.10950791835785,0.632348001003265,1.24954783916473,0.666553199291229,0.0364001914858818,-1.41813659667969,0.359569013118744,-0.362122595310211,-0.374933511018753,-0.303679138422012,1.91503131389618,1.01156139373779,-0.234346434473991,-2.15361356735229,1.9979567527771
"TCGA-AQ-A1H3-01",0.967593252658844,0.674998223781586,0.190729722380638,1.76458752155304,1.97511434555054,-0.457755506038666,0.615332365036011,0.0224547851830721,-0.800292611122131,-0.674781858921051,-0.526624381542206,-0.634710013866425,0.205652341246605,0.816628336906433,0.873206555843353
