"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"CRABP1",-0.255924224853516,-0.319249331951141,0.361898124217987,0.073301188647747,-0.0453166328370571,-0.110474862158298,-0.00599310081452131,-0.151690155267715,0.0033084531314671,0.00450306991115212,0.0343858525156975,0.265473663806915,-0.0641865432262421,-0.00189965637400746,0.199722021818161
"MUC5B",-0.0602073632180691,-0.249777689576149,0.378535449504852,-0.00897249765694141,0.0226421076804399,-0.192838579416275,0.146577447652817,0.292564123868942,-0.00839157495647669,0.238346308469772,-0.0341913513839245,-0.0385176800191402,0.0422637797892094,-0.0161087978631258,-0.245191410183907
"PIGR",-0.181975275278091,0.173927038908005,0.652145504951477,0.000112345507659484,0.0937588736414909,0.14144267141819,0.282525777816772,-0.0544512383639812,-0.0549820438027382,0.0185414869338274,-0.113649010658264,0.0636091455817223,-0.017353244125843,0.112430781126022,-0.0275428835302591
"SYT13",0.149255260825157,0.118699796497822,0.0915371105074883,-0.00176546548027545,-0.0306133236736059,-0.35552242398262,-0.127492219209671,0.292057305574417,0.210930153727531,0.000907401088625193,-0.0560367666184902,0.014159600250423,-0.112262614071369,-0.0182461068034172,0.174866482615471
"LTF",-0.227966964244843,0.120507195591927,0.375426709651947,-0.00612764386460185,0.0777314379811287,-0.116979904472828,0.500706553459167,0.111575864255428,-0.268222093582153,0.293637037277222,0.0207310933619738,0.0196988247334957,0.143910393118858,0.0627183690667152,-0.144753620028496
"TFF3",0.304806381464005,0.58837103843689,0.205611437559128,0.00809915363788605,0.0267752818763256,0.0152718033641577,0.119435414671898,0.123043335974216,0.0829974487423897,0.154335722327232,-0.0343349874019623,0.279458671808243,-0.0645574107766151,-0.185515001416206,-0.0436849556863308
"FABP4",-0.167150944471359,0.242803260684013,0.0613043904304504,-0.000689408741891384,0.804696559906006,0.257192313671112,-0.0220827665179968,-0.0956658720970154,0.00312229664996266,0.00236867344938219,-0.0148993572220206,0.0276837963610888,0.00225659552961588,-0.0704813748598099,0.0289055146276951
"GRIA2",-0.00341826747171581,0.298580676317215,0.0470430701971054,-0.0594624057412148,-0.000849344185553491,-0.205467313528061,-0.333227574825287,0.343437850475311,-0.0318813137710094,0.287383615970612,-0.0889745652675629,0.136955603957176,0.10661655664444,-0.00468593928962946,-0.108680181205273
"CST1",0.220464885234833,0.00727054802700877,0.0357300788164139,-0.000105457787867635,-0.00289185135625303,-0.176776185631752,0.370892137289047,0.256111741065979,0.0307199824601412,-0.148647278547287,0.0163572039455175,-0.197704911231995,-0.034271102398634,-0.187656298279762,-0.00562461279332638
"CIDEC",-0.169119149446487,0.201067417860031,0.103620618581772,-0.0259658899158239,0.906306326389313,0.183944925665855,-0.0747378021478653,-0.0983562394976616,-0.00703656207770109,-0.042535986751318,0.0457281060516834,0.070233128964901,0.00879664532840252,0.00811728276312351,-0.0374373383820057
"KLK11",-0.175388872623444,0.0309713874012232,0.429637670516968,-0.00407725665718317,0.0337253250181675,-0.0693037733435631,0.0652648359537125,-0.156648233532906,-0.0826759412884712,0.0289313457906246,0.158727839589119,0.0495665371417999,0.000877188809681684,-0.291825413703918,-0.147746354341507
"KLK5",-0.264534026384354,-0.143144637346268,0.727638840675354,-0.00402623508125544,-0.00158850417938083,0.0118490681052208,-0.183585628867149,-0.0624988153576851,-0.0123617956414819,0.00365446787327528,0.306366711854935,-0.204984307289124,-0.00295141129754484,-0.0516113750636578,0.0139240734279156
"OLFM4",-0.226028680801392,-0.057831808924675,0.574144124984741,0.00486567290499806,0.0904184505343437,0.119671806693077,0.00860618147999048,-0.000845128495711833,-0.0266569331288338,0.0449236258864403,-0.0374527387320995,-0.0832130461931229,-0.0235703494399786,0.0538213774561882,0.0039319465868175
"BMPR1B",0.156263709068298,0.342989087104797,-0.00951045192778111,-0.0769147127866745,-0.00661453837528825,-0.259080588817596,-0.166001096367836,0.214310243725777,-0.144224852323532,0.0072423149831593,-0.05801996961236,-0.079268641769886,0.036419440060854,-0.00848172511905432,0.0460599809885025
"CST9",0.211347550153732,0.392494648694992,0.186938732862473,-0.0502673052251339,0.0124564962461591,0.0344434566795826,-0.378801971673965,0.120879895985126,0.0389988161623478,-0.218952819705009,0.000122162193292752,0.149944931268692,0.0124819818884134,-0.0234973672777414,0.153242602944374
"HOXB13",0.12691068649292,-0.377213478088379,0.0305570047348738,0.142323881387711,-0.00345096737146378,0.000598559621721506,0.256371408700943,0.1258455067873,0.276442289352417,0.17357349395752,0.0421138033270836,0.111129567027092,-0.116741754114628,-0.231281980872154,-0.0733125582337379
"CEACAM6",0.186594426631927,0.215224027633667,0.23229318857193,-0.0408541336655617,-0.00240640877746046,-0.145338922739029,0.296597927808762,0.309758812189102,0.0312957838177681,0.245942652225494,0.0320200398564339,-0.0908902138471603,-0.105583466589451,0.137732341885567,-0.269782513380051
"SLC34A2",-0.303631812334061,-0.180344581604004,0.627159714698792,0.00543043157085776,0.0373735390603542,-0.151932582259178,0.0521330386400223,0.0734501034021378,-0.0805583372712135,-0.0153240915387869,0.0057200794108212,-0.199650138616562,0.0055674989707768,0.157350793480873,0.0682352855801582
